Artist,Date,City,Venue, Attendance ,Year,Longitude,Latitude
TWICE,6/24/23,Houston,Toyota Center,"19,605",2023,-95.3831,29.7628
TWICE,6/25/23,Houston,Toyota Center,"19,605",2023,-95.3831,29.7628
WOODZ,12/6/23,Houston,Smart Financial Center,,2023,-95.3831,29.7628
xikers,10/30/23,Houston,House of Blues,,2023,-95.3831,29.7628
(G)IDLE,9/13/24,Houston,Toyota Center,,2024,-95.3831,29.7628
ARTMS,8/25/24,Houston, Bayou Music Center ,,2024,-95.3831,29.7628
Dreamcatcher,11/20/24,Houston,713 Music Hall,,2024,-95.3831,29.7628
Kiss Of Life,11/26/24,Houston,713 Music Hall,,2024,-95.3831,29.7628
P1Harmony,5/14/24,Houston,Smart Financial Centre,,2024,-95.3831,29.7628
TXT,5/26/24,Houston,Minute Maid Park,"21,734",2024,-95.3831,29.7628
Whee In,5/24/24,Houston,713 Music Hall,,2024,-95.3831,29.7628
PIXY,4/29/23,Indianapolis,Irving Theater,,2023,-86.1581,39.7686
TRI.BE,6/18/23,Indianapolis,Irving Theater,,2023,-86.1581,39.7686
EXO,4/28/17,"Inglewood, California",The Forum,"8,668",2017,-118.3461,33.9575
BLACKPINK,4/17/19,"Inglewood, California",The Forum,"12,245",2019,-118.3461,33.9575
SuperM,2/1/20,"Inglewood, California",The Forum,,2020,-118.3461,33.9575
Dreamcatcher,3/15/23,"Irving, Texas",Toyota Music Factory,,2023,-96.9508,32.8117
Itzy,6/16/24,"Irving, Texas",Toyota Music Factory,,2024,-96.9508,32.8117
Dreamcatcher,12/15/19,"Jersey City, New Jersey",White Eagle Hall,,2019,-74.06,40.71
EVERGLOW,3/13/20,"Jersey City, New Jersey",White Eagle Hall,,2020,-74.06,40.71
DKB,9/15/22,"Jersey City, New Jersey",White Eagle Hall,,2022,-74.06,40.71
Kim Woo Jin,11/3/22,"Jersey City, New Jersey",White Eagle Hall,,2022,-74.06,40.71
OnlyOneOf,3/31/23,"Jersey City, New Jersey",White Eagle Hall,,2023,-74.06,40.71
Billlie,11/15/24,"Jersey City, New Jersey", White Eagle Hall ,,2024,-74.06,40.71
Moonbyul,11/29/24,"Jersey City, New Jersey",NJCU Center for the Arts,,2024,-74.06,40.71
LOONA,8/8/22,"Kansas City, Missouri",Uptown Theatre,,2022,-94.5833,39.05
OMEGA X,10/14/22,"Kansas City, Missouri",Uptown Theatre,,2022,-94.5833,39.05
PIXY,4/23/23,"Kansas City, Missouri",Gem Theater,,2023,-94.5833,39.05
TRI.BE,6/23/23,"Kansas City, Missouri",Folly Theater,,2023,-94.5833,39.05
tripleS,10/7/23,"Kansas City, Missouri",Uptown Theater,,2023,-94.5833,39.05
Moonbyul,11/19/24,"Kansas City, Missouri",Folly Theater,,2024,-94.5833,39.05
BTS,4/8/22,Las Vegas,Allegiant Stadium,"200,000",2022,-115.1486,36.1672
BTS,4/9/22,Las Vegas,Allegiant Stadium,,2022,-115.1486,36.1672
BTS,4/15/22,Las Vegas,MGM Grand Garden Arena,"22,000",2022,-115.1486,36.1672
BTS,4/16/22,Las Vegas,MGM Grand Garden Arena,,2022,-115.1486,36.1672
Kiss Of Life,12/7/24,Las Vegas,House of Blues Las Vegas,,2024,-115.1486,36.1672
XG,10/4/24,Las Vegas, The Theater at Virgin Hotels ,"50,000",2024,-115.1486,36.1672
ONEUS,3/3/22,"Lawrence, Kansas",Liberty Hall,,2022,-95.2353,38.9717
BLACKPINK,11/19/22,Los Angeles,Banc of California Stadium,"46,295",2022,-118.2437,34.0522
BLACKPINK,11/20/22,Los Angeles,Banc of California Stadium,,2022,-118.2437,34.0522
BLITZERS,2/5/22,Los Angeles,El Rey Theatre,,2022,-118.2437,34.0522
Itzy,10/26/22,Los Angeles,YouTube Theater,,2022,-118.2437,34.0522
TWICE,5/15/22,Los Angeles,Banc of California Stadium,,2022,-118.2437,34.0522
TWICE,5/15/22,Los Angeles,Banc of California Stadium,,2022,-118.2437,34.0522
BTS,7/26/15,Los Angeles,Club Nokia,,2015,-118.2437,34.0522
Amber,12/13/18,Los Angeles,Belasco,,2018,-118.2437,34.0522
BTS,9/5/18,Los Angeles,Staples Center,"56,220",2018,-118.2437,34.0522
BTS,9/6/18,Los Angeles,Staples Center,,2018,-118.2437,34.0522
BTS,9/8/18,Los Angeles,Staples Center,,2018,-118.2437,34.0522
BTS,9/9/18,Los Angeles,Staples Center,,2018,-118.2437,34.0522
ATEEZ,3/15/19,Los Angeles,Globe Theatre,,2019,-118.2437,34.0522
Dreamcatcher,12/6/19,Los Angeles,Globe Theatre,,2019,-118.2437,34.0522
Jay Park,11/4/19,Los Angeles,The Novo by Microsoft,,2019,-118.2437,34.0522
ONEUS,11/15/19,Los Angeles,Belasco,,2019,-118.2437,34.0522
Red Velvet,2/7/19,Los Angeles,Pasadena Civic Auditorium,"5,986",2019,-118.2437,34.0522
Red Velvet,2/8/19,Los Angeles,Pasadena Civic Auditorium,"5,986",2019,-118.2437,34.0522
Stray Kids,5/17/19,Los Angeles,Pasadena Civic Auditorium,,2019,-118.2437,34.0522
Sunmi,3/7/19,Los Angeles,The Fonda Theatre,,2019,-118.2437,34.0522
Tiffany,11/21/19,Los Angeles,The Fonda Theatre,,2019,-118.2437,34.0522
TWICE,7/17/19,Los Angeles,The Forum,"11,827",2019,-118.2437,34.0522
Itzy,1/17/20,Los Angeles,The Novo by Microsoft,,2020,-118.2437,34.0522
Seventeen,1/19/20,Los Angeles,The Forum,,2020,-118.2437,34.0522
Stray Kids,2/16/20,Los Angeles,Microsoft Theatre,,2020,-118.2437,34.0522
BTS,11/27/21,Los Angeles,SoFi Stadium,"214,000",2021,-118.2437,34.0522
BTS,11/28/21,Los Angeles,SoFi Stadium,,2021,-118.2437,34.0522
BTS,12/1/21,Los Angeles,YouTube Theater,"18,000",2021,-118.2437,34.0522
BTS,12/2/21,Los Angeles,YouTube Theater,,2021,-118.2437,34.0522
(G)IDLE,7/22/22,Los Angeles,The Novo by Microsoft,,2022,-118.2437,34.0522
Aespa,6/26/22,Los Angeles,YouTube Theater,,2022,-118.2437,34.0522
Aespa,6/27/22,Los Angeles,YouTube Theater,,2022,-118.2437,34.0522
ATEEZ,1/30/22,Los Angeles,The Forum,"19,868",2022,-118.2437,34.0522
ATEEZ,1/31/22,Los Angeles,The Forum,,2022,-118.2437,34.0522
Brave Girls,7/23/22,Los Angeles,Wilshire Ebell Theatre,,2022,-118.2437,34.0522
CIX,4/27/22,Los Angeles,The Wiltern,,2022,-118.2437,34.0522
DKB,6/19/22,Los Angeles,Wilshire Ebell Theatre,,2022,-118.2437,34.0522
Dreamcatcher,7/16/22,Los Angeles,The Wiltern,,2022,-118.2437,34.0522
Dreamcatcher,7/17/22,Los Angeles,The Wiltern,,2022,-118.2437,34.0522
KARD,8/26/22,Los Angeles,The Wiltern,,2022,-118.2437,34.0522
Kim Woo Jin,11/13/22,Los Angeles,Teragram Ballroom,,2022,-118.2437,34.0522
LOONA,8/1/22,Los Angeles,The Wiltern,,2022,-118.2437,34.0522
LOONA,8/2/22,Los Angeles,The Wiltern,,2022,-118.2437,34.0522
MCND,8/24/22,Los Angeles,The Mayan Club,,2022,-118.2437,34.0522
Monsta X,6/11/22,Los Angeles,Kia Forum,,2022,-118.2437,34.0522
NCT 127,10/6/22,Los Angeles,Crypto Arena,,2022,-118.2437,34.0522
OMEGA X,10/22/22,Los Angeles,The Orpheum Theatre,,2022,-118.2437,34.0522
P1Harmony,5/15/22,Los Angeles,The Theatre at Ace Hotel,,2022,-118.2437,34.0522
P1Harmony,5/16/22,Los Angeles,The Theatre at Ace Hotel,,2022,-118.2437,34.0522
SF9,12/10/22,Los Angeles,The Wiltern,,2022,-118.2437,34.0522
Stray Kids,7/9/22,Los Angeles,Kia Forum,"24,920",2022,-118.2437,34.0522
Stray Kids,7/10/22,Los Angeles,Kia Forum,,2022,-118.2437,34.0522
Sunmi,9/12/22,Los Angeles,The Wiltern,,2022,-118.2437,34.0522
THE BOYZ,5/29/22,Los Angeles,Pasadena Civic Auditorium,,2022,-118.2437,34.0522
TWICE,2/15/22,Los Angeles,The Forum,,2022,-118.2437,34.0522
TWICE,2/15/22,Los Angeles,The Forum,"25,507",2022,-118.2437,34.0522
TWICE,2/16/22,Los Angeles,The Forum,"25,507",2022,-118.2437,34.0522
TWICE,2/16/22,Los Angeles,The Forum,,2022,-118.2437,34.0522
TWICE,5/14/22,Los Angeles,Banc of California Stadium,"46,710",2022,-118.2437,34.0522
TWICE,5/14/22,Los Angeles,Banc of California Stadium,"46,710",2022,-118.2437,34.0522
TXT,7/23/22,Los Angeles,Microsoft Theatre,"13,562",2022,-118.2437,34.0522
TXT,7/24/22,Los Angeles,Microsoft Theatre,,2022,-118.2437,34.0522
WEi,9/16/22,Los Angeles,El Rey Theater,,2022,-118.2437,34.0522
(G)IDLE,8/6/23,Los Angeles,Peacock Theater,,2023,-118.2437,34.0522
Aespa,8/13/23,Los Angeles,Crypto.com Arena,"10,000",2023,-118.2437,34.0522
Chuu,12/3/23,Los Angeles,The Orpheum Theatre,,2023,-118.2437,34.0522
CIX,3/24/23,Los Angeles,Orpheum Theatre,,2023,-118.2437,34.0522
CRAVITY,6/25/23,Los Angeles,Avalon Hollywood,,2023,-118.2437,34.0522
Dreamcatcher,3/20/23,Los Angeles,Hollywood Palladium,,2023,-118.2437,34.0522
E'LAST,5/7/23,Los Angeles,Avalon Hollywood,,2023,-118.2437,34.0522
ENHYPEN,10/6/23,Los Angeles,Dignity Health Sports Park,"22,446",2023,-118.2437,34.0522
EVERGLOW,11/22/23,Los Angeles,The Wiltern,,2023,-118.2437,34.0522
Kang Daniel,3/18/23,Los Angeles,The Wiltern,,2023,-118.2437,34.0522
Loossemble,10/7/23,Los Angeles,Kia Forum,,2023,-118.2437,34.0522
N.Flying,1/22/23,Los Angeles,Pasadena Civic Auditorium,,2023,-118.2437,34.0522
NCT Dream,4/19/23,Los Angeles,Honda Center,,2023,-118.2437,34.0522
NMIXX,5/5/23,Los Angeles,The Wiltern,,2023,-118.2437,34.0522
ONEUS,2/4/23,Los Angeles,Pasadena Civic Auditorium,,2023,-118.2437,34.0522
OnlyOneOf,4/30/23,Los Angeles,Avalon Hollywood,,2023,-118.2437,34.0522
P1Harmony,1/20/23,Los Angeles,Palladium,,2023,-118.2437,34.0522
pH1,1/25/23,Los Angeles,Fonda Theatre,,2023,-118.2437,34.0522
PIXY,4/9/23,Los Angeles,Palace Theater,,2023,-118.2437,34.0522
Stray Kids,3/31/23,Los Angeles,Banc of California Stadium,"45,380",2023,-118.2437,34.0522
Stray Kids,4/2/23,Los Angeles,Banc of California Stadium,,2023,-118.2437,34.0522
Suga,5/10/23,Los Angeles,Kia Forum,"42,492",2023,-118.2437,34.0522
Suga,5/11/23,Los Angeles,Kia Forum,,2023,-118.2437,34.0522
Suga,5/14/23,Los Angeles,Kia Forum,,2023,-118.2437,34.0522
TRI.BE,7/3/23,Los Angeles,Palace Theatre,,2023,-118.2437,34.0522
tripleS,10/14/23,Los Angeles,Pasadena Civic Center,,2023,-118.2437,34.0522
TWICE,6/10/23,Los Angeles,SoFi Stadium,"48,345",2023,-118.2437,34.0522
TXT,5/27/23,Los Angeles,BMO Stadium,"46,757",2023,-118.2437,34.0522
TXT,5/28/23,Los Angeles,BMO Stadium,,2023,-118.2437,34.0522
WOODZ,11/30/23,Los Angeles,Long Beach Terrace Theater,,2023,-118.2437,34.0522
xikers,11/1/23,Los Angeles,The Orpheum,,2023,-118.2437,34.0522
ARTMS,8/31/24,Los Angeles, The Orpheum Theatre ,,2024,-118.2437,34.0522
ATEEZ,7/20/24,Los Angeles,BMO Stadium,,2024,-118.2437,34.0522
ATEEZ,7/21/24,Los Angeles,BMO Stadium,,2024,-118.2437,34.0522
Billlie,12/15/24,Los Angeles, Teragram Ballroom ,,2024,-118.2437,34.0522
BM,5/14/24,Los Angeles, The Avalon ,,2024,-118.2437,34.0522
CIX,5/26/24,Los Angeles, Novo ,,2024,-118.2437,34.0522
Day6,4/16/25,Los Angeles, YouTube Theater ,,2024,-118.2437,34.0522
Day6,4/17/25,Los Angeles, YouTube Theater ,,2024,-118.2437,34.0522
Dreamcatcher,11/15/24,Los Angeles,Dolby Theatre,,2024,-118.2437,34.0522
Hyolyn,11/1/24,Los Angeles,Catch One,,2024,-118.2437,34.0522
Itzy,6/11/24,Los Angeles,Kia Forum,,2024,-118.2437,34.0522
IU,8/2/24,Los Angeles,Kia Forum,"13,770",2024,-118.2437,34.0522
IVE,3/13/24,Los Angeles,KIA Forum,,2024,-118.2437,34.0522
Kiss Of Life,12/3/24,Los Angeles,The Novo,,2024,-118.2437,34.0522
Kiss Of Life,12/4/24,Los Angeles,The Novo,,2024,-118.2437,34.0522
Loossemble,10/25/24,Los Angeles,Orpheum Theatre,,2024,-118.2437,34.0522
MCND,2/18/24,Los Angeles,Avalon Hollywood,,2024,-118.2437,34.0522
Moonbyul,11/12/24,Los Angeles, Wilshire Ebell Theatre ,,2024,-118.2437,34.0522
NCT Dream,9/12/24,Los Angeles,Intuit Dome,,2024,-118.2437,34.0522
P1Harmony,6/16/24,Los Angeles,The Kia Forum,,2024,-118.2437,34.0522
SEVENTEEN,11/9/24,Los Angeles,BMO Stadium,"40,000",2024,-118.2437,34.0522
SEVENTEEN,11/10/24,Los Angeles,BMO Stadium,,2024,-118.2437,34.0522
THE BOYZ,7/25/24,Los Angeles,Peacock Theater,,2024,-118.2437,34.0522
TXT,5/21/24,Los Angeles,Crypto.com Arena,"23,849",2024,-118.2437,34.0522
TXT,5/22/24,Los Angeles,Crypto.com Arena,,2024,-118.2437,34.0522
Whee In,5/19/24,Los Angeles,Orpheum,,2024,-118.2437,34.0522
XG,10/6/24,Los Angeles,Peacock Theater,,2024,-118.2437,34.0522
Dreamcatcher,7/3/22,"Louisville, Kentucky",Old Foresters Paristown Hall,,2022,-85.7514,38.2561
LOONA,8/13/22,"Louisville, Kentucky",Old Foresters Paristown Hall,,2022,-85.7514,38.2561
OMEGA X,10/9/22,"Louisville, Kentucky",Old Foresters Paristown Hall,,2022,-85.7514,38.2561
ONEUS,2/26/22,"Louisville, Kentucky",Paristown Hall,,2022,-85.7514,38.2561
EVERGLOW,11/13/23,"Louisville, Kentucky",Louisville Palace,,2023,-85.7514,38.2561
PIXY,4/27/23,"Louisville, Kentucky",Art Sanctuary,,2023,-85.7514,38.2561
ONEUS,1/21/23,"Madison, Wisconsin",The Orpheum Theatre,,2023,-89.3842,43.0747
Loossemble,10/16/24,"Madison, Wisconsin",Orpheum Theatre,,2024,-89.3842,43.0747
Jay Park,11/16/19,Miami,Fillmore Miami Beach,,2019,-80.2167,25.7833
Red Velvet,2/13/19,Miami,Fillmore Miami Beach,"2,148",2019,-80.2167,25.7833
Stray Kids,2/7/20,Miami,Watsco Center,,2020,-80.2167,25.7833
Brave Girls,7/12/22,Miami,Amaturo Theater,,2022,-80.2167,25.7833
P1Harmony,3/16/22,Miami,Fillmore Miami Beach,,2022,-80.2167,25.7833
Aespa,8/22/23,Miami,James L. Knight Center,,2023,-80.2167,25.7833
P1Harmony,6/5/24,Miami,James L. Knight Center,,2024,-80.2167,25.7833
Jay Park,11/22/19,Minneapolis,State Theatre,,2019,-93.2692,44.9819
ONEUS,11/13/19,Minneapolis,Pantages Theatre,,2019,-93.2692,44.9819
Itzy,1/19/20,Minneapolis,State Theatre,,2020,-93.2692,44.9819
Dreamcatcher,7/9/22,Minneapolis,Skyway Theatre,,2022,-93.2692,44.9819
KARD,8/18/22,Minneapolis,Fillmore Minneapolis,,2022,-93.2692,44.9819
ONEUS,2/19/22,Minneapolis,Skyway Theatre,,2022,-93.2692,44.9819
OnlyOneOf,4/4/23,Minneapolis,The Lyric At The Skyway,,2023,-93.2692,44.9819
ARTMS,9/8/24,Minneapolis, Uptown Theatre ,,2024,-93.2692,44.9819
Kiss Of Life,11/10/24,Minneapolis,Uptown Theater,,2024,-93.2692,44.9819
Loossemble,10/18/24,Minneapolis,Uptown Theater,,2024,-93.2692,44.9819
Dreamcatcher,9/10/23,"Nashville, Tennessee",Grand Ole Opry,,2023,-86.7744,36.1622
P1Harmony,2/12/23,"Nashville, Tennessee",Grand Ole Opry,,2023,-86.7744,36.1622
P1Harmony,6/3/24,"Nashville, Tennessee",Grand Ole Opry,,2024,-86.7744,36.1622
EVERGLOW,11/1/23,"New Haven, Connecticut",College Street Music Hall,,2023,-72.925,41.3083
Seventeen,1/10/20,"Newark, New Jersey",Prudential Center,,2020,-74.185,40.7353
ENHYPEN,10/15/22,New York City,Radio City Music Hall,"5,577",2022,-74,40.7
TXT,7/9/22,New York City,Hulu Theater,"5,239",2022,-74,40.7
BTS,7/16/15,New York City,Best Buy Theater,"12,500",2015,-74,40.7
Amber,12/9/18,New York City,Irving Plaza,,2018,-74,40.7
BTS,10/6/18,New York City,Citi Field,"34,327",2018,-74,40.7
ATEEZ,3/24/19,New York City,Warsaw,,2019,-74,40.7
Jay Park,11/14/19,New York City,Terminal 5,,2019,-74,40.7
ONEUS,11/3/19,New York City,The Town Hall,,2019,-74,40.7
Sunmi,3/15/19,New York City,The Town Hall,,2019,-74,40.7
SuperM,11/19/19,New York City,Madison Square Garden,,2019,-74,40.7
Tiffany,11/10/19,New York City,Brooklyn Steel,,2019,-74,40.7
Itzy,1/26/20,New York City,Kings Theatre,,2020,-74,40.7
Stray Kids,1/29/20,New York City,Hulu Theater,,2020,-74,40.7
(G)IDLE,8/5/22,New York City,Webster Hall,,2022,-74,40.7
BLITZERS,2/13/22,New York City,Webster Hall,,2022,-74,40.7
Brave Girls,7/10/22,New York City,Central Park SummerStage,,2022,-74,40.7
CIX,5/10/22,New York City,Palladium Times Square,,2022,-74,40.7
Dreamcatcher,6/28/22,New York City,Palladium Times Square,,2022,-74,40.7
Itzy,11/13/22,New York City,Hulu Theater,,2022,-74,40.7
LOONA,8/19/22,New York City,Palladium Times Square,,2022,-74,40.7
MCND,8/28/22,New York City,Webster Hall,,2022,-74,40.7
Monsta X,5/21/22,New York City,Radio City Music Hall,,2022,-74,40.7
OMEGA X,10/4/22,New York City,Palladium Times Square,,2022,-74,40.7
ONEUS,2/12/22,New York City,Webster Hall,,2022,-74,40.7
P1Harmony,3/10/22,New York City,The Town Hall,,2022,-74,40.7
P1Harmony,3/11/22,New York City,The Town Hall,,2022,-74,40.7
SF9,11/30/22,New York City,The Town Hall,,2022,-74,40.7
Sunmi,9/4/22,New York City,Terminal 5,,2022,-74,40.7
TWICE,2/26/22,New York City,UBS Arena,"26,768",2022,-74,40.7
TWICE,2/26/22,New York City,UBS Arena,"26,768",2022,-74,40.7
TWICE,2/27/22,New York City,UBS Arena,,2022,-74,40.7
TWICE,2/27/22,New York City,UBS Arena,,2022,-74,40.7
WEi,10/2/22,New York City,The Brooklyn Monarch,,2022,-74,40.7
(G)IDLE,8/13/23,New York City,The Theatre at MSG,,2023,-74,40.7
Chuu,12/13/23,New York City,Kings Theatre,,2023,-74,40.7
CIX,3/10/23,New York City,Terminal 5,,2023,-74,40.7
CRAVITY,6/16/23,New York City,Webster Hall,,2023,-74,40.7
Dreamcatcher,3/4/23,New York City,Hulu Theater,,2023,-74,40.7
EVERGLOW,11/3/23,New York City,Kings Theatre,,2023,-74,40.7
Kang Daniel,3/3/23,New York City,Webster Hall,,2023,-74,40.7
Loossemble,9/15/23,New York City,The Theater at MSG,,2023,-74,40.7
N.Flying,1/13/23,New York City,Terminal 5,,2023,-74,40.7
ONEUS,1/12/23,New York City,Apollo Theater,,2023,-74,40.7
P1Harmony,2/5/23,New York City,Terminal 5,,2023,-74,40.7
pH1,2/1/23,New York City,Webster Hall,,2023,-74,40.7
PIXY,5/3/23,New York City,The Brooklyn Monarch,,2023,-74,40.7
TRI.BE,6/12/23,New York City,The Brooklyn Monarch,,2023,-74,40.7
tripleS,10/1/23,New York City,Town Hall,,2023,-74,40.7
TWICE,7/6/23,New York City,Metlife Stadium,"47,907",2023,-74,40.7
WOODZ,12/11/23,New York City,Kings Theatre,,2023,-74,40.7
xikers,10/22/23,New York City,The Apollo,,2023,-74,40.7
ARTMS,8/16/24,New York City, Kings Theatre ,,2024,-74,40.7
ATEEZ,8/3/24,New York City,Citi Field,,2024,-74,40.7
BM,5/21/24,New York City,Webster Hall,,2024,-74,40.7
CIX,5/12/24,New York City, United Palace ,,2024,-74,40.7
Day6,4/19/25,New York City,The Theater at Madison Square Garden,,2024,-74,40.7
Dreamcatcher,11/2/24,New York City, Kings Theatre ,,2024,-74,40.7
EVERGLOW,9/29/24,New York City,The Town Hall,,2024,-74,40.7
Kiss Of Life,11/21/24,New York City,Irving Plaza,,2024,-74,40.7
Kiss Of Life,11/22/24,New York City,Manhattan Center Hammerstein Ballroom,,2024,-74,40.7
Loossemble,10/9/24,New York City,Town Hall,,2024,-74,40.7
MCND,2/9/24,New York City, Racket NYC ,,2024,-74,40.7
THE BOYZ,7/19/24,New York City, Radio City Music Hall ,,2024,-74,40.7
TXT,6/1/24,New York City,Madison Square Garden,"24,775",2024,-74,40.7
TXT,6/2/24,New York City,Madison Square Garden,,2024,-74,40.7
XG,10/18/24,New York City,Theater at Madison Square Garden,,2024,-74,40.7
BTS,3/23/17,"Newark, New Jersey",Prudential Center,"60,000",2017,-74.185,40.7353
BTS,3/24/17,"Newark, New Jersey",Prudential Center,"60,000",2017,-74.185,40.7353
EXO,4/25/17,"Newark, New Jersey",Prudential Center,"5,999",2017,-74.185,40.7353
BTS,9/28/18,"Newark, New Jersey",Prudential Center,"25,236",2018,-74.185,40.7353
BTS,9/29/18,"Newark, New Jersey",Prudential Center,"25,236",2018,-74.185,40.7353
BLACKPINK,5/1/19,"Newark, New Jersey",Prudential Center,"22,944",2019,-74.185,40.7353
BLACKPINK,5/2/19,"Newark, New Jersey",Prudential Center,,2019,-74.185,40.7353
Red Velvet,2/17/19,"Newark, New Jersey",NJ Performing Arts Center,"2,780",2019,-74.185,40.7353
Stray Kids,5/14/19,"Newark, New Jersey",NJ Performing Arts Center,"5,359",2019,-74.185,40.7353
Stray Kids,5/15/19,"Newark, New Jersey",NJ Performing Arts Center,,2019,-74.185,40.7353
TWICE,7/21/19,"Newark, New Jersey",Prudential Center,"15,000",2019,-74.185,40.7353
ATEEZ,1/24/22,"Newark, New Jersey",Prudential Center,"11,148",2022,-74.185,40.7353
ATEEZ,11/27/22,"Newark, New Jersey",Prudential Center,,2022,-74.185,40.7353
ATEEZ,11/28/22,"Newark, New Jersey",Prudential Center,,2022,-74.185,40.7353
BLACKPINK,11/14/22,"Newark, New Jersey",Prudential Center,"23,928",2022,-74.185,40.7353
BLACKPINK,11/15/22,"Newark, New Jersey",Prudential Center,,2022,-74.185,40.7353
NCT 127,10/13/22,"Newark, New Jersey",Prudential Center,,2022,-74.185,40.7353
Stray Kids,6/28/22,"Newark, New Jersey",Prudential Center,"24,186",2022,-74.185,40.7353
Stray Kids,6/29/22,"Newark, New Jersey",Prudential Center,,2022,-74.185,40.7353
THE BOYZ,6/3/22,"Newark, New Jersey",NJ Performing Arts Center,,2022,-74.185,40.7353
ENHYPEN,10/18/23,"Newark, New Jersey",Prudential Center,"20,053",2023,-74.185,40.7353
ENHYPEN,10/19/23,"Newark, New Jersey",Prudential Center,,2023,-74.185,40.7353
NCT Dream,4/5/23,"Newark, New Jersey",Prudential Center,,2023,-74.185,40.7353
Suga,4/29/23,"Newark, New Jersey",Prudential Center,"13,286",2023,-74.185,40.7353
Itzy,6/23/24,"Newark, New Jersey",Prudential Center,,2024,-74.185,40.7353
IU,7/15/24,"Newark, New Jersey",Prudential Center,"14,245",2024,-74.185,40.7353
IVE,3/29/24,"Newark, New Jersey",Prudential Center,"11,617",2024,-74.185,40.7353
BTS,9/12/18,"Oakland, California",Oracie Arena,"10,743",2018,-122.25,37.8
Stray Kids,7/12/22,"Oakland, California",Oakland Arena,"12,507",2022,-122.25,37.8
TWICE,2/18/22,"Oakland, California",Oakland Arena,"12,891",2022,-122.25,37.8
TWICE,2/18/22,"Oakland, California",Oakland Arena,"12,891",2022,-122.25,37.8
Chuu,12/5/23,"Oakland, California",Paramount Theatre,,2023,-122.25,37.8
CIX,3/26/23,"Oakland, California",Paramount Theatre,,2023,-122.25,37.8
Dreamcatcher,3/18/23,"Oakland, California",Paramount Theater,,2023,-122.25,37.8
Loossemble,10/5/23,"Oakland, California",Paramount Theatre,,2023,-122.25,37.8
P1Harmony,1/22/23,"Oakland, California",Paramount Theater,,2023,-122.25,37.8
Suga,5/16/23,"Oakland, California",Oakland Arena,"27,149",2023,-122.25,37.8
TWICE,6/12/23,"Oakland, California",Oakland Arena,"23,703",2023,-122.25,37.8
TWICE,6/13/23,"Oakland, California",Oakland Arena,"23,703",2023,-122.25,37.8
(G)IDLE,9/8/24,"Oakland, California",Oakland Arena,,2024,-122.25,37.8
ATEEZ,7/17/24,"Oakland, California",Oakland Arena,,2024,-122.25,37.8
Dreamcatcher,11/17/24,"Oakland, California",Paramount Theatre Oakland,,2024,-122.25,37.8
ENHYPEN,4/26/24,"Oakland, California",Oakland Arena,"11,950",2024,-122.25,37.8
Itzy,6/8/24,"Oakland, California",Oakland Arena,,2024,-122.25,37.8
IU,7/30/24,"Oakland, California",Oakland Arena,"13,932",2024,-122.25,37.8
IVE,3/16/24,"Oakland, California",Oakland Arena,"12,063",2024,-122.25,37.8
NCT Dream,9/14/24,"Oakland, California",Oakland Arena,,2024,-122.25,37.8
P1Harmony,6/14/24,"Oakland, California",Oakland Arena,,2024,-122.25,37.8
SEVENTEEN,11/5/24,"Oakland, California",Oakland Arena,,2024,-122.25,37.8
SEVENTEEN,11/6/24,"Oakland, California",Oakland Arena,,2024,-122.25,37.8
TXT,5/18/24,"Oakland, California",Oakland-Alameda County Coliseum,"15,663",2024,-122.25,37.8
TRI.BE,6/24/23,"Omaha, Nebraska",Benson Theatre,,2023,-95.9375,41.2586
Dreamcatcher,12/13/19,"Orlando, Florida",Plaza Live,,2019,-81.3867,28.5336
OMEGA X,10/7/22,"Orlando, Florida",The Plaza Live,,2022,-81.3867,28.5336
ONEUS,2/22/22,"Orlando, Florida",The Plaza Live,,2022,-81.3867,28.5336
Dreamcatcher,9/13/23,"Orlando, Florida",Dr. Phillips Center,,2023,-81.3867,28.5336
E'LAST,5/14/23,"Orlando, Florida",Avanti Palms Convention Center,,2023,-81.3867,28.5336
ONEUS,1/18/23,"Orlando, Florida",House of Blues Orlando,,2023,-81.3867,28.5336
pH1,2/7/23,"Orlando, Florida",House of Blues,,2023,-81.3867,28.5336
PIXY,5/9/23,"Orlando, Florida",Level 13,,2023,-81.3867,28.5336
TRI.BE,6/6/23,"Orlando, Florida",Level 13 Event Center,,2023,-81.3867,28.5336
ARTMS,8/23/24,"Orlando, Florida", Walt Disney Theater ,,2024,-81.3867,28.5336
Loossemble,10/6/24,"Orlando, Florida",Steinmetz Hall,,2024,-81.3867,28.5336
Whee In,5/27/24,"Orlando, Florida",Hard Rock Live,,2024,-81.3867,28.5336
BTS,5/4/19,"Pasadena, California",Rose Bowl,"113,040",2019,-118.1319,34.1561
BTS,5/5/19,"Pasadena, California",Rose Bowl,,2019,-118.1319,34.1561
Tiffany,11/6/19,Philadelphia,Union Transfer,,2019,-75.1636,39.9528
Brave Girls,7/9/22,Philadelphia,Admore Music Hall,,2022,-75.1636,39.9528
WEi,9/29/22,Philadelphia,Ardmore Music Hall,,2022,-75.1636,39.9528
PIXY,5/5/23,Philadelphia,Temple Performing Arts Center,,2023,-75.1636,39.9528
TRI.BE,6/10/23,Philadelphia,Suzanne Roberts Theatre,,2023,-75.1636,39.9528
Moonbyul,12/1/24,Philadelphia,Temple Performing Arts Center,,2024,-75.1636,39.9528
